id|English|Español
APP_TITLE|GEU Renderer|GEU Renderer
AUTOUPDATER_MSG|A new version of the application has been detected. Download updated installer?|Se ha encontrado una nueva versión de la aplicación. ¿Desea descargar el instalador actualizado?
AUTOUPDATER_TITLE|New version available|Nueva versión disponible
CAMERA_PROJ_ORTHO|Orthographic|Ortográfica
CAMERA_PROJ_PERSP|Perspective|Perspectiva
DATABASE_ADDITIONAL_DATA|Additional data|Datos adicionales
DATABASE_AUTOFILL|Autofill|Rellenado automático
DATABASE_AUTOFILL_HELP|The autofill function will fill all the database fields that can be getted from opened file metadata.\nIf any of the database entry already match these fields, it will be selected.|La función de rellenado automático rellenará todos los campos de la base de datos que se pueda extraer de los metadatos.\nSi alguna entrada de la base de datos coincide con estos datos extraidos, se seleccionará.
DATABASE_CAMARA|Camera|Cámara
DATABASE_CAMARA_FABRICANTE|Manufacturer|Fabricante
DATABASE_CAMARA_MODELO|Model|Modelo
DATABASE_CONNECTION_REQUIRED|Database connection is required|Se requiere conexión a la base de datos
DATABASE_DATO|Datum|Dato
DATABASE_DATO_DESCRIPTION|Description|Descripción
DATABASE_DATO_DISTINTIVO|Distinctive|Distintivo
DATABASE_DATO_DUPLICATED_INSERT|New data already has an entry in remote database|El nuevo dato ya se encontraba en la base de datos remota
DATABASE_DATO_FAILED_INSERT|There was an error while inserting the new data|Error al insertar el nuevo dato.
DATABASE_DATO_FAILED_UPLOAD|There was an error while uploading the new data to NAS|Error al subir el dato al NAS
DATABASE_DATO_NOMBRE|Name|Nombre
DATABASE_DATO_PROCESADO|Processed|Procesado
DATABASE_DATO_RUTA|URL|Ruta URL
DATABASE_DATO_SOFTWARE|Software|Software
DATABASE_DATO_SUCCESSFUL_INSERT|New data inserted sucessfully|Nuevo dato insertado con éxito
DATABASE_DATO_SUCCESSFUL_UPLOAD|New data uploaded to NAS sucessfully|Dato subido al NAS con éxito
DATABASE_DATO_TIPO|Type|Tipo
DATABASE_DATO_DOWNLOAD_OVERWRITE|This data is already downloaded locally.\nDownload and overwrite?|Este dato ya se encuentra descargado localmente.\n¿Volver a descargar y sobreescribir?
DATABASE_DRON|Drone|Dron
DATABASE_DRON_CARGA|Load|Carga
DATABASE_DRON_CATEGORIA|Category|Categoría
DATABASE_DRON_FABRICANTE|Manufacturer|Fabricante
DATABASE_DRON_FABRICANTE_REFRESH|Refresh available manufacturer list|Refresca el listado de fabricantes
DATABASE_DRON_MODELO|Model|Modelo
DATABASE_DRON_REGISTRO|Record|Registro
DATABASE_DRON_RTK|RTK|RTK
DATABASE_DRON_VARIANTE|Variant|Variante
DATABASE_EXCEPTION_TITLE|Database error|Error en la base de datos
DATABASE_FINCA|Property|Finca
DATABASE_FINCA_AREA|Area|Area
DATABASE_FINCA_PARCELA|Plot|Parcela
DATABASE_FINCA_POLIGONO|Polygon|Polígono
DATABASE_FINCA_RECINTO|Enclosure|Recinto
DATABASE_FINCA_USE|Assign property?|¿Asignar finca?
DATABASE_GPS_LATITUD|Latitude|Latitud
DATABASE_GPS_LONGITUD|Longitude|Longitud
DATABASE_GPS_RADIO|Radius|Radio
DATABASE_LOCAL_DOWNLOADS|Downloaded data|Datos descargados
DATABASE_LOCAL_DOWNLOADS_COUNT|Data paths found:|Directorios encontrados:
DATABASE_LOCAL_DOWNLOADS_NODATA|Data not found in database|El dato no se ha encontrado en la base de datos.
DATABASE_LOCAL_DOWNLOADS_OPENDIR|Open directory|Abrir directorio
DATABASE_LOCAL_DOWNLOADS_REDOWNLOAD|Download again|Volver a descargar
DATABASE_LOCAL_DOWNLOADS_REDOWNLOAD_TOOLTIP|Download this data again from NAS server.\nCan be used to update old data and prevent manually querying the database.|Vuelve a descargar este dato desde el servidor NAS.\nPuede utilizarse para actualizar datos antiguos y evitar consultar manualmente la base de datos.
DATABASE_MUNICIPIO|City|Municipio
DATABASE_MUNICIPIO_CODMUNICIPIO|City code|Código municipal
DATABASE_NEWRAW_VUELOHELP|An area must be selected before assigning flight data.|Debe seleccionar una zona antes de asignar datos del vuelo.
DATABASE_NORAWDATA|No data found|No se han encontrado datos
DATABASE_OBJETO|Object|Objeto
DATABASE_OBJETO_TIPO|Type|Tipo
DATABASE_OBJETO_POLIGONO|Polygon|Polígono
DATABASE_PROVINCIA|Province|Provincia
DATABASE_QUERY|Query database|Consultar base de datos
DATABASE_QUERY_BUTTON|Query|Consultar
DATABASE_QUERY_QUERYING|Querying...|Consultando...
DATABASE_SENSOR|Sensor|Sensor
DATABASE_SENSOR_FABRICANTE|Manufacturer|Fabricante
DATABASE_SENSOR_TIPO|Type|Tipo
DATABASE_UPLOAD_DUPLICATED|Data already exists in database, no changes will apply to entry.|Este dato ya existe en la base de datos, no se realizarán cambios en su entrada.
DATABASE_USEFILTER|Use filter?|¿Usar filtro?
DATABASE_VUELO|Flight|Vuelo
DATABASE_VUELO_ALTITUD|Altitude|Altitud
DATABASE_VUELO_ATERRIZAJES|Landings|Aterrizajes
DATABASE_VUELO_CAMARA_FAILED_INSERT|Failed to insert a new relation between Vuelo and Camara|Error al insertar la relación entre Vuelo y Cámara
DATABASE_VUELO_CAMARA_SUCCESSFUL_INSERT|Relation betweet Vuelo and Camara inserted successfully|Relación entre Vuelo y Cámara insertada con éxito
DATABASE_VUELO_DURACION|Flight duration|Duración del Vuelo
DATABASE_VUELO_FAILED_INSERT|There was an error while inserting the new flight|Error al insertar el nuevo vuelo.
DATABASE_VUELO_FECHA|Date|Fecha
DATABASE_VUELO_HORAFIN|Finishing time|Hora de finalización
DATABASE_VUELO_HORAINICIO|Starting time|Hora de inicio
DATABASE_VUELO_INCIDENCIAS|Incidences|Incidencias
DATABASE_VUELO_RANGOFECHA_END|To date|Hasta la fecha
DATABASE_VUELO_RANGOFECHA_INI|From date|Desde la fecha
DATABASE_VUELO_SOLAPE|Overlap|Solape
DATABASE_VUELO_SOLAPE_LONGITUDINAL|Longitudinal overlap|Solape longitudinal
DATABASE_VUELO_SOLAPE_TRANSVERSAL|Transversal overlap|Solape transversal
